Nome,Squadra,Ruolo,QtA,QtI,Diff
Theate,Bologna,D,8,8,0
Belghali,Torino,D,8,7,1
Diego Carlos,Parma,D,8,8,0
Hien,Atalanta,D,7,8,-1
Mina,Cagliari,D,7,8,-1
Zè Pedro,Cagliari,D,7,5,2
Valle,Como,D,7,6,1
Bracaglia,Frosinone,D,7,5,2
Oyono A.,Frosinone,D,7,5,2
Celik,Juventus,D,7,8,-1
Tavares N.,Lazio,D,7,6,1
Koulierakis,Roma,D,7,8,-1
Idzes,Sassuolo,D,7,7,0
Doig,Sassuolo,D,7,4,3
Coco,Torino,D,7,7,0
Ismajli,Torino,D,7,7,0
Fortini,Torino,D,7,5,2
Leysen F.,Sassuolo,D,7,5,2
Balerdi,Roma,D,7,6,1
Kolasinac,Atalanta,D,6,5,1
Bernasconi,Atalanta,D,6,6,0
Heggem,Bologna,D,6,6,0
Holm,Bologna,D,6,5,1
Zortea,Bologna,D,6,6,0
Kempf,Como,D,6,5,1
Viery,Fiorentina,D,6,6,0
Calvani,Frosinone,D,6,4,2
Monterisi,Frosinone,D,6,6,0
Marcandalli,Genoa,D,6,6,0
Pavard,Inter,D,6,6,0
Marusic,Lazio,D,6,6,0
Veiga D.,Lecce,D,6,5,1
Gallo,Lecce,D,6,6,0
Gabbia,Milan,D,6,7,-1
Tomori,Milan,D,6,7,-1
Birindelli,Monza,D,6,4,2
Buongiorno,Napoli,D,6,7,-1
Kristensen T.,Atalanta,D,6,7,-1
Hainaut,Venezia,D,6,3,3
Obrador,Sassuolo,D,6,6,0
Badiashile,Napoli,D,6,7,-1
Sutalo J.,Lazio,D,6,7,-1
Caleta-Car,Sassuolo,D,6,6,0
Sugawara,Cagliari,D,6,6,0
Leite,Lazio,D,6,6,0
Bellanova,Atalanta,D,5,6,-1
Kofler,Cagliari,D,5,5,0
Rodriguez Ju.,Cagliari,D,5,3,2
Valdepenas,Fiorentina,D,5,6,-1
Gatti,Juventus,D,5,4,1
Kelly L.,Juventus,D,5,5,0
Pedraza,Lazio,D,5,5,0
Siebert,Lecce,D,5,4,1
De Winter,Milan,D,5,3,2
Beukema,Napoli,D,5,6,-1
Ghilardi,Roma,D,5,4,1
Comert,Torino,D,5,4,1
Abankwah,Udinese,D,5,1,4
Bella-Kotchap,Venezia,D,5,6,-1
Correia T.,Venezia,D,5,4,1
Haps,Venezia,D,5,5,0
Favasuli,Napoli,D,5,4,1
Patterson,Torino,D,5,5,0
Rodriguez R.,Torino,D,5,5,0
Vitik,Bologna,D,4,5,-1
Parisi,Fiorentina,D,4,5,-1
Cittadini,Frosinone,D,4,3,1
Provstgaard,Lazio,D,4,3,1
Floriani Mussolini,Lazio,D,4,3,1
Gaspar K.,Lecce,D,4,5,-1
Lucchesi,Monza,D,4,4,0
Kouadio,Monza,D,4,3,1
Carboni A.,Monza,D,4,3,1
Olivera,Napoli,D,4,5,-1
Troilo,Parma,D,4,3,1
Valenti,Parma,D,4,4,0
Britschgi,Parma,D,4,3,1
Rensch,Roma,D,4,5,-1
Bertola,Udinese,D,4,4,0
Moreno M.,Venezia,D,4,5,-1
Sagrado,Venezia,D,4,2,2
Terzic,Frosinone,D,4,4,0
Cinquegrano,Sassuolo,D,4,1,3
Juan Jesus,Venezia,D,4,4,0
Ehizibue,Genoa,D,4,4,0
Kossounou,Atalanta,D,3,3,0
Helland,Bologna,D,3,2,1
Smolcic I.,Como,D,3,4,-1
Pongracic,Fiorentina,D,3,4,-1
Ranieri L.,Fiorentina,D,3,3,0
Mitaj,Genoa,D,3,4,-1
Estupinan,Milan,D,3,3,0
Walukiewicz,Sassuolo,D,3,4,-1
Kabasele,Udinese,D,3,4,-1
Ebosse,Udinese,D,3,2,1
Zanoli,Udinese,D,3,4,-1
Arizala,Udinese,D,3,4,-1
Odenthal,Sassuolo,D,3,1,2
Lulli,Roma,D,3,1,2
Drameh,Genoa,D,3,3,0
Casale,Bologna,D,2,3,-1
Alhassane,Bologna,D,2,2,0
Idrissi R.,Cagliari,D,2,3,-1
Joao Mario,Fiorentina,D,2,3,-1
Akpoguma,Frosinone,D,2,3,-1
Otoa,Genoa,D,2,2,0
Sabelli,Genoa,D,2,2,0
Bakoune,Monza,D,2,1,1
Marin R.,Napoli,D,2,2,0
Candè,Sassuolo,D,2,3,-1
Palma,Udinese,D,2,2,0
Halhal,Venezia,D,2,4,-2
Schingtienne,Venezia,D,2,3,-1
Sverko,Venezia,D,2,3,-1
Franjic,Venezia,D,2,2,0
Goglichidze,Monza,D,2,2,0
Tchato,Frosinone,D,2,3,-1
Kambwala,Como,D,2,3,-1
Drobnic,Parma,D,2,1,1
De Silvestri,Bologna,D,1,1,0
Goldaniga,Como,D,1,1,0
Van Der Brempt,Sassuolo,D,1,2,-1
Amey,Frosinone,D,1,1,0
Puczka,Genoa,D,1,2,-1
Rugani,Juventus,D,1,1,0
Cabal,Juventus,D,1,1,0
Patric,Lazio,D,1,1,0
Lazzari,Lazio,D,1,2,-1
Pellegrini Lu.,Lazio,D,1,2,-1
Jean,Lecce,D,1,2,-1
Ndaba,Lecce,D,1,1,0
Diawara S.,Milan,D,1,2,-1
Antov,Monza,D,1,1,0
Marianucci,Napoli,D,1,1,0
Mazzocchi,Venezia,D,1,1,0
Ndiaye,Parma,D,1,1,0
Carboni F.,Parma,D,1,1,0
Ziolkowski,Monza,D,1,1,0
Pieragnolo,Sassuolo,D,1,1,0
Biraghi,Torino,D,1,2,-1
Gomes,Venezia,D,1,1,0
Aurelio,Cagliari,D,1,2,-1
Omar Fayed,Frosinone,D,1,1,0
Terracciano F.,Milan,D,1,2,-1
Maye,Monza,D,1,1,0
Dembelè A.,Lecce,D,1,1,0
Paz N.,Como,C,30,30,0
Calhanoglu,Inter,C,27,27,0
McTominay,Napoli,C,26,28,-2
Orsolini,Bologna,C,24,26,-2
Pulisic,Milan,C,24,25,-1
Rabiot,Milan,C,23,22,1
Baturina,Como,C,20,19,1
Mora,Roma,C,20,19,1
Da Cunha,Como,C,18,18,0
Barella,Inter,C,18,17,1
De Bruyne,Napoli,C,17,15,2
Zaniolo,Udinese,C,17,18,-1
Atta,Fiorentina,C,16,17,-1
McKennie,Juventus,C,16,17,-1
Zaccagni,Lazio,C,16,16,0
Mastantuono,Fiorentina,C,14,12,2
Samardzic,Atalanta,C,13,12,1
Gudmundsson A.,Lazio,C,13,13,0
Zielinski,Inter,C,13,10,3
Conceicao,Juventus,C,13,12,1
Taylor K.,Lazio,C,13,13,0
Ekkelenkamp,Udinese,C,13,10,3
Moreira,Milan,C,13,12,1
Gonzalez N.,Juventus,C,13,11,2
Ederson D.S.,Atalanta,C,12,12,0
Modric,Milan,C,12,12,0
Vlasic,Torino,C,12,14,-2
Jones C.,Inter,C,12,12,0
Perrone,Como,C,11,10,1
Rodriguez Je.,Como,C,11,12,-1
Baldanzi,Genoa,C,11,11,0
Frattesi,Lazio,C,11,7,4
Alajbegovic,Juventus,C,11,12,-1
Kessiè,Atalanta,C,11,12,-1
Goncalves P.,Fiorentina,C,11,12,-1
Bernardeschi,Bologna,C,10,9,1
Rowe,Atalanta,C,10,11,-1
Mandragora,Torino,C,10,9,1
Diouf,Inter,C,10,8,2
Cancellieri,Lazio,C,10,9,1
Saelemaekers,Milan,C,10,10,0
Lobotka,Napoli,C,10,7,3
Zambo Anguissa,Napoli,C,10,11,-1
Politano,Napoli,C,10,10,0
Konè M.,Roma,C,10,10,0
Thorstvedt,Sassuolo,C,10,10,0
Calò,Frosinone,C,9,7,2
Thuram K.,Juventus,C,9,10,-1
Isaksen,Lazio,C,9,9,0
Coulibaly L.,Lecce,C,9,6,3
Colpani,Monza,C,9,8,1
Vergara,Napoli,C,9,8,1
Cristante,Roma,C,9,8,1
Adzic,Sassuolo,C,9,5,4
Volpato,Sassuolo,C,9,7,2
Casadei,Torino,C,9,10,-1
Pellegrini Lo.,Roma,C,9,10,-1
Pasalic,Atalanta,C,8,9,-1
Ferguson,Bologna,C,8,7,1
Cambiaghi,Bologna,C,8,8,0
Adopo,Cagliari,C,8,6,2
Romano,Cagliari,C,8,5,3
Fagioli,Fiorentina,C,8,8,0
Ndour,Fiorentina,C,8,8,0
Sucic P.,Inter,C,8,8,0
Locatelli,Juventus,C,8,8,0
Zhegrova,Juventus,C,8,6,2
Chukwueze,Milan,C,8,6,2
Pisilli,Roma,C,8,5,3
Konè I.,Sassuolo,C,8,9,-1
Karlstrom,Udinese,C,8,6,2
Schmid,Frosinone,C,8,8,0
Gaetano,Atalanta,C,7,7,0
Zalewski,Atalanta,C,7,6,1
Pobega,Bologna,C,7,6,1
Odgaard,Bologna,C,7,8,-1
Winks,Cagliari,C,7,6,1
Fazzini,Cagliari,C,7,7,0
Frendrup,Genoa,C,7,7,0
Koopmeiners,Juventus,C,7,5,2
Akinsanmiro,Monza,C,7,6,1
Bernabè,Parma,C,7,7,0
Matic,Sassuolo,C,7,5,2
Cacciamani,Torino,C,7,5,2
Unai Gomez,Udinese,C,7,7,0
Busio,Venezia,C,7,5,2
Sow,Genoa,C,7,7,0
Hutchinson,Milan,C,7,8,-1
Monteiro J.,Lecce,C,7,7,0
Sarr P.,Juventus,C,7,7,0
Mbangula,Bologna,C,7,8,-1
Braganca,Torino,C,7,6,1
El Shaarawy,Genoa,C,7,7,0
Milla,Como,C,6,5,1
Caqueret,Como,C,6,6,0
Liberali,Como,C,6,6,0
Oulai,Fiorentina,C,6,6,0
Zerbin,Frosinone,C,6,5,1
Ellertsson,Genoa,C,6,6,0
Rovella,Lazio,C,6,6,0
Pierotti,Lecce,C,6,6,0
Pessina,Monza,C,6,7,-1
Keita M.,Parma,C,6,5,1
Bakola,Sassuolo,C,6,5,1
Fitz-Jim,Torino,C,6,4,2
Gineitis,Torino,C,6,5,1
Oristanio,Torino,C,6,7,-1
Piotrowski,Udinese,C,6,5,1
Basic,Venezia,C,6,6,0
Perez K.,Venezia,C,6,5,1
Cissè A.,Milan,C,6,3,3
Elmas,Atalanta,C,6,7,-1
Deiola,Cagliari,C,5,3,2
Felici,Cagliari,C,5,5,0
Fini,Frosinone,C,5,3,2
Masini,Frosinone,C,5,2,3
Messias,Genoa,C,5,3,2
Jashari,Milan,C,5,4,1
Musah,Milan,C,5,2,3
Nicolussi Caviglia,Parma,C,5,6,-1
Almqvist,Parma,C,5,4,1
Njie,Fiorentina,C,5,4,1
Sohm,Venezia,C,5,5,0
Tourè I.,Monza,C,5,6,-1
De Roon,Roma,C,4,4,0
Amondarain,Bologna,C,4,5,-1
Moro N.,Bologna,C,4,4,0
Dominguez B.,Sassuolo,C,4,3,1
Fadera,Cagliari,C,4,2,2
Addai,Como,C,4,5,-1
Cichella,Frosinone,C,4,4,0
Amorim,Genoa,C,4,4,0
Meichtry,Genoa,C,4,5,-1
Traorè Hj.,Genoa,C,4,5,-1
Luis Henrique,Inter,C,4,4,0
Mkhitaryan,Inter,C,4,5,-1
Douglas Luiz,Juventus,C,4,4,0
Dele-Bashiru,Lazio,C,4,5,-1
Maleh,Lecce,C,4,2,2
Ngom,Lecce,C,4,4,0
Berisha M.,Lecce,C,4,5,-1
Gandelman,Lecce,C,4,5,-1
Loftus-Cheek,Milan,C,4,4,0
Folorunsho,Monza,C,4,4,0
Ilkhan,Torino,C,4,4,0
Miller L.,Udinese,C,4,3,1
Grillitsch,Frosinone,C,4,5,-1
Massolin,Cagliari,C,4,4,0
Sulemana I.,Sassuolo,C,3,3,0
Brescianini,Fiorentina,C,3,3,0
Fabbian,Parma,C,3,4,-1
Hasa,Frosinone,C,3,2,1
Belahyane,Lazio,C,3,1,2
Cataldi,Lazio,C,3,4,-1
Gorter,Lecce,C,3,1,2
Ricci S.,Como,C,3,4,-1
Gilmour,Napoli,C,3,3,0
Ordonez C.,Parma,C,3,2,1
Diallo O.,Parma,C,3,3,0
Lipani,Sassuolo,C,3,2,1
Ilic,Lecce,C,3,1,2
Aboukhlal,Torino,C,3,3,0
Gagliardini,Cagliari,C,3,3,0
Fernandez T.,Venezia,C,3,3,0
El Azzouzi O.,Bologna,C,2,2,0
Gelli F.,Frosinone,C,2,3,-1
Stankovic A.,Inter,C,2,3,-1
Colombo L.,Monza,C,2,3,-1
Cremaschi,Parma,C,2,1,1
Zarraga,Udinese,C,2,1,1
Chakvetadze,Udinese,C,2,2,0
Helgason,Venezia,C,2,3,-1
Forson O.,Monza,C,2,1,1
Foe Ondoa,Monza,C,2,1,1
Jovanovic,Udinese,C,2,2,0
Sierro,Parma,C,2,1,1
Liteta,Cagliari,C,1,1,0
Lahdo,Como,C,1,1,0
El Azzouzi A.,Frosinone,C,1,1,0
Kone B.,Frosinone,C,1,1,0
Venturino,Genoa,C,1,2,-1
Przyborek,Lazio,C,1,1,0
Kaba,Lecce,C,1,1,0
Fofana Sa.,Lecce,C,1,1,0
Ciurria,Monza,C,1,2,-1
Boloca,Sassuolo,C,1,2,-1
Dagasso,Venezia,C,1,1,0
Duncan,Venezia,C,1,2,-1
Laerke,Lecce,C,1,1,0
Comotto,Milan,C,1,1,0
Mout,Monza,C,1,1,0
Ciervo,Cagliari,C,1,1,0
Libra,Bologna,C,1,1,0
Malen,Roma,A,37,34,3
Martinez L.,Inter,A,34,35,-1
Thuram,Inter,A,30,29,1
Hojlund,Napoli,A,28,28,0
Ramos G.,Milan,A,26,27,-1
Kean,Como,A,24,25,-1
Kolo Muani,Juventus,A,24,26,-2
Woltemade,Juventus,A,22,23,-1
Douvikas,Como,A,21,20,1
Yildiz,Juventus,A,21,23,-2
Scamacca,Atalanta,A,20,19,1
Davis K.,Udinese,A,19,19,0
Esposito F.P.,Inter,A,18,16,2
Berardi,Sassuolo,A,18,18,0
Krstovic,Atalanta,A,17,18,-1
De Ketelaere,Atalanta,A,16,17,-1
Dovbyk,Bologna,A,16,16,0
Pellegrino M.,Fiorentina,A,16,15,1
Dybala,Roma,A,16,14,2
Laurientè,Sassuolo,A,16,15,1
Soulè,Roma,A,15,12,3
Diao,Como,A,14,11,3
Santos A.,Napoli,A,14,14,0
Castro S.,Roma,A,14,14,0
Simeone,Torino,A,14,15,-1
Beto,Fiorentina,A,14,14,0
Raspadori,Atalanta,A,13,13,0
Esposito Se.,Sassuolo,A,13,13,0
Adams A.,Venezia,A,12,12,0
Raimondo,Frosinone,A,11,7,4
Bowie,Sassuolo,A,11,10,1
Pinamonti,Lazio,A,11,13,-2
Adams C.,Torino,A,11,9,2
Kevin Carlos,Cagliari,A,11,13,-2
Romero D.,Parma,A,11,10,1
Colombo,Genoa,A,10,11,-1
Yeboah J.,Venezia,A,10,8,2
Tourè E.,Parma,A,10,11,-1
Maldini,Cagliari,A,9,5,4
Piccoli,Bologna,A,9,8,1
Ghedjemis,Frosinone,A,9,9,0
Kvernadze,Frosinone,A,9,4,5
Cutrone,Monza,A,9,9,0
Osmajic,Genoa,A,9,8,1
Bobcek,Frosinone,A,9,9,0
Vitinha O.,Genoa,A,8,8,0
Bonny,Inter,A,8,7,1
Noslin,Lazio,A,8,6,2
Geubbels,Lecce,A,8,9,-1
Mendy P.,Cagliari,A,7,4,3
Stulic,Lecce,A,7,7,0
Varela G.,Monza,A,7,3,4
Rrahmani Al.,Venezia,A,7,8,-1
Zeballos,Monza,A,7,6,1
Gnonto,Fiorentina,A,7,7,0
Boga,Juventus,A,6,6,0
Zapata D.,Torino,A,6,7,-1
Gueye,Udinese,A,6,4,2
Robinson J.,Monza,A,6,4,2
Sulemana K.,Atalanta,A,5,6,-1
Mota,Monza,A,5,5,0
Neres,Napoli,A,5,6,-1
Lontani,Parma,A,5,1,4
N'Dri,Lecce,A,4,3,1
Camarda,Milan,A,4,5,-1
Lang,Napoli,A,4,3,1
Frigan,Parma,A,4,5,-1
Adorante,Venezia,A,4,5,-1
Milik,Juventus,A,4,5,-1
Fatah,Lecce,A,4,4,0
Birligea,Frosinone,A,4,5,-1
Ngonge,Monza,A,4,5,-1
Nzola,Cagliari,A,4,4,0
Havel,Genoa,A,3,4,-1
Giovane,Napoli,A,3,4,-1
Lucca,Napoli,A,3,3,0
Elphege,Parma,A,3,3,0
Kulenovic,Torino,A,3,4,-1
Ekhator,Juventus,A,2,3,-1
Lauberbach,Venezia,A,2,1,1
Enem,Bologna,A,2,2,0
Trepy,Cagliari,A,1,1,0
Bayo V.,Udinese,A,1,1,0
Lisman,Venezia,A,1,1,0
De Martis,Parma,A,1,1,0
Robinho Junior,Genoa,A,1,1,0
